delivery_id,order_id,delivery_date,delivery_status,is_full_delivery,warehouse_id,distance_from_hub_km,flood_affected
1,1,2025-03-27,Delayed,True,WH_002,90.5,True
2,2,2025-03-20,Delayed,False,WH_005,227.61,False
3,3,2024-12-25,Delayed,False,WH_006,236.97,False
4,4,2024-11-06,Delayed,True,WH_003,263.55,True
5,5,2024-07-25,On Time,False,WH_002,102.64,False
6,6,2024-12-26,On Time,True,WH_002,284.2,False
7,7,2025-01-23,On Time,True,WH_007,181.0,True
8,8,2025-03-15,On Time,False,WH_010,88.82,False
9,9,2025-04-02,Delayed,True,WH_004,234.4,False
10,10,2025-02-07,On Time,True,WH_009,259.63,True
11,11,2024-12-24,On Time,False,WH_006,266.06,False
12,12,2025-01-29,Delayed,False,WH_003,292.39,True
13,13,2025-03-23,Delayed,False,WH_009,209.95,False
14,14,2024-12-31,Delayed,False,WH_009,106.78,True
15,15,2024-12-15,Delayed,False,WH_006,153.05,True
16,16,2024-12-27,Delayed,True,WH_001,180.83,True
17,17,2025-01-06,Delayed,False,WH_008,183.77,False
18,18,2025-03-06,Delayed,False,WH_001,241.47,False
19,19,2024-11-16,On Time,True,WH_009,143.41,False
20,20,2025-02-14,Delayed,False,WH_004,90.82,False
21,21,2024-11-25,Delayed,True,WH_005,69.8,True
22,22,2025-03-15,Delayed,False,WH_009,252.2,False
23,23,2024-10-15,On Time,True,WH_003,84.16,True
24,24,2025-03-17,Delayed,False,WH_005,225.12,False
25,25,2024-11-08,On Time,False,WH_001,88.04,True
26,26,2025-02-24,On Time,True,WH_005,117.3,False
27,27,2025-02-20,On Time,True,WH_002,87.67,False
28,28,2024-11-18,On Time,False,WH_007,127.89,False
29,29,2025-03-22,Delayed,False,WH_001,132.56,True
30,30,2025-01-03,On Time,False,WH_007,67.85,False
31,31,2024-10-28,On Time,True,WH_005,254.31,True
32,32,2024-12-09,On Time,True,WH_007,242.81,False
33,33,2024-10-27,On Time,True,WH_004,165.21,True
34,34,2025-03-12,On Time,False,WH_007,220.36,False
35,35,2024-07-31,Delayed,True,WH_001,236.18,True
36,36,2025-02-12,Delayed,False,WH_005,99.68,True
37,37,2025-03-05,On Time,True,WH_004,208.23,False
38,38,2025-02-11,On Time,True,WH_005,196.17,False
39,39,2025-04-03,On Time,True,WH_001,195.27,False
40,40,2025-02-26,On Time,False,WH_002,112.18,False
41,41,2025-02-23,On Time,False,WH_001,64.94,True
42,42,2025-02-27,On Time,True,WH_008,108.17,False
43,43,2025-01-28,Delayed,True,WH_001,222.31,False
44,44,2024-10-05,On Time,False,WH_001,171.33,False
45,45,2025-01-17,Delayed,False,WH_004,191.68,False
46,46,2025-01-11,Delayed,False,WH_005,266.92,True
47,47,2025-01-24,On Time,True,WH_008,123.92,False
48,48,2025-02-22,Delayed,False,WH_001,243.98,False
49,49,2025-03-08,On Time,True,WH_010,264.21,True
50,50,2024-09-28,Delayed,True,WH_009,254.76,True
51,51,2024-09-26,Delayed,True,WH_010,120.78,False
52,52,2025-02-24,Delayed,True,WH_002,180.8,True
53,53,2025-03-10,On Time,True,WH_003,268.37,True
54,54,2025-01-08,On Time,False,WH_004,74.69,False
55,55,2025-01-07,Delayed,False,WH_001,141.59,True
56,56,2024-08-20,On Time,True,WH_008,282.1,True
57,57,2024-10-06,Delayed,True,WH_006,189.5,False
58,58,2025-03-14,Delayed,True,WH_010,116.45,True
59,59,2024-10-20,On Time,False,WH_002,286.15,True
60,60,2025-03-23,On Time,True,WH_009,146.33,True
61,61,2024-10-18,On Time,True,WH_009,237.3,False
62,62,2024-07-24,On Time,False,WH_008,225.64,False
63,63,2024-06-29,On Time,True,WH_003,187.49,False
64,64,2024-11-19,On Time,False,WH_006,275.62,False
65,65,2025-01-14,Delayed,False,WH_007,256.54,False
66,66,2025-03-31,On Time,True,WH_007,241.43,False
67,67,2025-03-15,Delayed,False,WH_008,289.96,True
68,68,2024-12-04,On Time,False,WH_010,54.08,True
69,69,2025-03-27,Delayed,True,WH_005,296.1,True
70,70,2024-10-29,Delayed,True,WH_005,279.78,True
71,71,2025-03-26,On Time,True,WH_008,138.91,True
72,72,2025-03-09,Delayed,False,WH_010,112.46,False
73,73,2025-02-06,Delayed,True,WH_010,149.95,True
74,74,2024-10-21,On Time,False,WH_008,93.23,True
75,75,2025-03-03,Delayed,True,WH_010,145.39,True
76,76,2025-04-05,Delayed,False,WH_007,154.13,True
77,77,2025-01-15,On Time,True,WH_007,63.53,True
78,78,2024-12-30,Delayed,True,WH_006,175.6,True
79,79,2024-12-30,On Time,True,WH_007,292.76,True
80,80,2024-09-09,On Time,False,WH_005,246.59,True
81,81,2025-02-16,On Time,False,WH_002,168.96,True
82,82,2025-01-20,Delayed,False,WH_002,149.63,False
83,83,2025-03-02,On Time,True,WH_008,189.82,False
84,84,2024-06-26,Delayed,True,WH_009,204.0,True
85,85,2025-03-26,On Time,True,WH_005,244.19,False
86,86,2025-01-15,On Time,True,WH_007,155.89,False
87,87,2025-03-10,On Time,False,WH_006,198.47,True
88,88,2025-04-01,Delayed,True,WH_006,204.06,False
89,89,2025-03-26,On Time,False,WH_001,281.05,True
90,90,2025-02-03,On Time,False,WH_003,239.43,True
91,91,2025-02-28,On Time,True,WH_004,287.24,True
92,92,2025-02-03,Delayed,True,WH_006,223.45,True
93,93,2025-03-02,Delayed,False,WH_008,55.69,True
94,94,2025-04-05,On Time,True,WH_009,180.82,False
95,95,2025-04-05,Delayed,True,WH_001,144.15,True
96,96,2025-01-19,Delayed,True,WH_001,121.0,False
97,97,2025-01-17,On Time,False,WH_001,66.65,False
98,98,2024-10-06,Delayed,True,WH_001,123.12,False
99,99,2024-06-02,On Time,False,WH_009,294.15,True
100,100,2025-02-02,Delayed,False,WH_010,182.89,True
101,101,2025-02-14,On Time,False,WH_009,281.59,True
102,102,2025-03-25,On Time,True,WH_009,126.23,False
103,103,2025-04-01,Delayed,True,WH_001,136.69,False
104,104,2024-06-19,Delayed,False,WH_004,299.0,False
105,105,2025-03-08,On Time,False,WH_007,272.6,True
106,106,2024-06-23,Delayed,True,WH_003,135.45,False
107,107,2025-03-23,On Time,True,WH_007,180.18,True
108,108,2025-03-18,Delayed,True,WH_010,88.19,False
109,109,2024-12-12,Delayed,False,WH_009,82.94,True
110,110,2025-03-07,On Time,True,WH_005,222.13,True
111,111,2024-11-25,Delayed,True,WH_010,279.28,False
112,112,2025-01-30,On Time,True,WH_003,129.4,True
113,113,2024-09-24,On Time,False,WH_007,290.3,False
114,114,2025-01-20,Delayed,False,WH_003,244.78,True
115,115,2025-03-29,On Time,True,WH_001,240.61,False
116,116,2024-12-24,On Time,True,WH_004,221.84,False
117,117,2025-01-22,On Time,False,WH_003,175.58,False
118,118,2025-03-15,Delayed,True,WH_007,172.86,True
119,119,2025-03-03,On Time,True,WH_004,58.06,True
120,120,2025-03-10,Delayed,False,WH_004,235.59,True
121,121,2025-03-22,On Time,True,WH_003,281.78,False
122,122,2025-01-12,Delayed,False,WH_008,271.9,False
123,123,2025-04-03,Delayed,True,WH_010,233.83,False
124,124,2025-03-22,Delayed,False,WH_010,284.78,True
125,125,2024-12-24,On Time,False,WH_008,256.75,True
126,126,2025-03-23,On Time,False,WH_001,189.43,True
127,127,2025-04-04,On Time,False,WH_008,149.51,False
128,128,2024-06-08,Delayed,False,WH_003,155.62,True
129,129,2025-03-08,On Time,False,WH_008,72.61,True
