feedback_id,customer_id,order_id,feedback_date,satisfaction_score,complaint_type,renewal_status
1,53,163,2025-03-15,1,Damaged Goods,Renewed
2,36,619,2024-11-10,4,Incomplete Order,Renewed
3,46,589,2024-11-24,2,Late Delivery,Renewed
4,84,318,2025-01-09,5,Damaged Goods,Not Renewed
5,33,602,2025-03-23,4,None,Not Renewed
6,38,208,2024-10-16,3,None,Not Renewed
7,37,515,2024-12-17,3,Late Delivery,Not Renewed
8,89,470,2025-03-07,1,Late Delivery,Not Renewed
9,98,283,2024-12-31,5,Incomplete Order,Renewed
10,52,207,2024-12-05,4,Damaged Goods,Not Renewed
11,48,8,2025-03-08,5,None,Not Renewed
12,15,147,2024-12-06,1,None,Not Renewed
13,88,457,2025-02-04,2,Incomplete Order,Not Renewed
14,60,66,2025-03-26,1,Damaged Goods,Renewed
15,30,409,2024-06-23,2,Damaged Goods,Not Renewed
16,73,620,2025-02-03,2,Damaged Goods,Renewed
17,72,253,2024-11-17,5,Incomplete Order,Renewed
18,35,539,2024-11-17,1,Late Delivery,Not Renewed
19,92,337,2025-02-02,4,Late Delivery,Renewed
20,82,583,2024-12-25,4,Incomplete Order,Not Renewed
21,15,503,2025-02-15,3,Damaged Goods,Not Renewed
22,35,472,2024-07-01,5,Damaged Goods,Not Renewed
23,57,474,2024-07-03,1,Late Delivery,Not Renewed
24,56,590,2025-03-04,2,Damaged Goods,Renewed
25,8,41,2025-01-15,4,Damaged Goods,Renewed
26,9,94,2024-10-13,2,None,Renewed
27,86,295,2025-01-30,1,Late Delivery,Not Renewed
28,14,662,2025-03-25,5,None,Not Renewed
29,37,468,2025-03-18,4,Incomplete Order,Renewed
30,67,356,2025-01-20,3,Incomplete Order,Renewed
31,24,305,2024-12-21,2,None,Renewed
32,89,401,2025-03-14,5,Late Delivery,Not Renewed
33,80,628,2025-02-06,5,Incomplete Order,Renewed
34,66,180,2025-02-01,2,Late Delivery,Renewed
35,10,426,2024-11-20,2,Damaged Goods,Not Renewed
36,93,256,2024-11-15,4,Late Delivery,Renewed
37,23,184,2025-03-17,1,Damaged Goods,Renewed
38,13,633,2024-09-28,4,Late Delivery,Not Renewed
39,98,443,2024-12-20,1,Damaged Goods,Renewed
40,16,469,2024-12-26,5,Incomplete Order,Not Renewed
41,90,394,2024-11-24,4,Late Delivery,Renewed
42,94,188,2024-08-25,1,Damaged Goods,Renewed
43,96,681,2025-02-25,5,Late Delivery,Renewed
44,32,98,2025-02-19,2,Late Delivery,Not Renewed
45,95,403,2025-01-24,5,Damaged Goods,Not Renewed
46,36,45,2025-03-03,4,Damaged Goods,Not Renewed
47,29,246,2024-08-24,3,Damaged Goods,Not Renewed
48,21,162,2025-03-26,3,Incomplete Order,Not Renewed
49,99,281,2025-01-09,4,None,Renewed
50,65,644,2024-12-10,3,Damaged Goods,Renewed
51,74,551,2025-02-08,1,None,Not Renewed
52,69,299,2024-05-31,2,Late Delivery,Renewed
53,7,69,2024-11-21,5,Damaged Goods,Renewed
54,61,223,2024-12-10,3,None,Not Renewed
55,70,506,2025-02-03,5,None,Renewed
56,24,422,2025-02-10,1,Damaged Goods,Renewed
57,10,567,2025-01-28,3,Late Delivery,Not Renewed
58,71,125,2024-12-18,4,Incomplete Order,Not Renewed
59,93,378,2024-10-17,4,Late Delivery,Not Renewed
60,37,79,2024-10-25,4,None,Renewed
61,17,108,2024-11-25,4,Damaged Goods,Renewed
62,16,517,2024-12-10,2,Late Delivery,Renewed
63,4,334,2025-01-03,4,Late Delivery,Not Renewed
64,61,420,2025-02-06,5,None,Renewed
65,29,462,2024-10-16,4,Late Delivery,Not Renewed
66,14,169,2025-02-26,5,Incomplete Order,Renewed
67,96,259,2025-03-18,2,Incomplete Order,Renewed
68,79,213,2025-02-24,1,None,Renewed
69,31,519,2024-06-04,2,Damaged Goods,Not Renewed
70,63,46,2025-02-04,3,Incomplete Order,Not Renewed
71,86,678,2025-02-26,4,Late Delivery,Renewed
72,89,28,2024-12-02,5,None,Renewed
73,52,75,2025-01-28,3,Incomplete Order,Renewed
74,70,473,2025-03-11,3,None,Not Renewed
75,45,391,2025-03-09,5,None,Renewed
76,47,352,2025-02-25,2,Damaged Goods,Renewed
77,5,686,2025-02-10,3,Late Delivery,Renewed
78,9,200,2024-12-26,1,Damaged Goods,Renewed
79,37,407,2025-02-07,1,Damaged Goods,Renewed
80,1,39,2025-03-13,3,None,Renewed
81,1,11,2025-03-26,3,Late Delivery,Renewed
82,55,257,2024-10-12,4,None,Not Renewed
83,9,118,2025-03-18,3,Incomplete Order,Renewed
84,1,140,2025-03-12,1,None,Renewed
85,74,335,2025-01-03,5,None,Not Renewed
