order_id,product_id,quantity_ordered
1,37,2
1,14,9
2,38,4
2,14,6
3,39,5
3,1,3
4,35,3
4,17,2
5,9,1
6,16,1
6,38,3
6,21,5
7,9,7
8,48,2
9,29,10
9,50,2
9,24,8
9,33,9
10,40,9
10,3,5
11,42,7
11,2,7
11,4,2
11,31,8
12,5,3
12,6,2
12,21,3
12,39,5
13,25,5
13,39,8
13,34,9
14,7,9
14,45,4
14,8,7
14,42,8
15,27,8
15,22,7
16,47,6
16,7,5
16,21,6
16,28,3
17,5,6
17,6,3
17,28,9
17,7,1
18,43,6
18,8,7
18,27,1
19,39,2
19,20,10
19,23,9
20,10,8
20,43,4
21,23,9
22,8,10
22,49,4
22,18,7
23,39,5
24,12,5
25,22,3
25,23,3
25,1,10
26,5,1
26,10,2
26,48,9
26,41,4
27,27,6
27,30,5
27,22,6
27,11,10
28,4,3
29,49,1
29,40,2
30,29,8
30,43,10
30,28,8
31,18,2
31,14,6
31,49,7
31,33,2
32,44,9
32,38,5
32,32,1
33,26,1
33,39,1
34,20,3
34,14,5
35,21,8
35,8,7
35,1,3
36,25,4
36,35,9
37,5,1
37,26,7
37,48,1
38,5,10
38,21,7
38,37,7
38,28,5
39,26,1
40,11,6
40,40,2
40,30,7
41,16,7
42,34,6
42,6,4
42,26,6
42,20,3
43,33,2
44,50,6
44,23,3
45,7,5
45,10,4
46,39,2
46,10,3
47,30,8
47,49,10
47,37,10
47,38,6
48,10,8
48,29,8
48,5,5
49,38,9
49,4,2
49,23,5
50,29,5
50,3,2
50,4,2
50,24,10
51,30,1
51,38,8
51,36,10
51,48,4
52,39,3
52,31,1
52,33,8
53,22,2
54,3,8
54,16,8
55,24,7
55,19,7
56,44,6
56,39,2
56,4,6
57,36,7
58,17,10
58,47,3
58,43,6
59,38,3
60,20,7
60,42,3
60,45,10
61,20,9
62,42,9
62,22,2
62,9,7
62,43,9
63,2,3
63,24,4
63,20,6
64,13,2
64,15,5
64,9,2
64,10,9
65,43,6
66,39,3
66,25,3
67,45,10
67,50,3
68,3,4
68,27,8
68,24,10
68,44,5
69,15,8
69,35,4
69,16,6
69,20,10
70,30,9
70,50,9
70,19,7
70,25,3
71,39,5
71,9,1
72,24,9
72,36,2
72,7,5
72,46,2
73,18,9
73,29,3
74,6,1
74,15,7
74,29,1
74,23,7
75,16,6
75,25,4
75,6,1
76,7,6
76,46,3
76,42,3
77,19,8
78,49,8
78,46,8
79,6,1
80,14,10
80,10,9
80,36,7
81,50,5
82,20,1
82,8,4
83,41,2
83,40,8
83,30,10
83,5,9
84,41,9
85,46,5
85,10,7
86,40,6
87,37,3
87,27,2
88,5,9
88,34,9
88,35,9
89,25,8
90,41,7
91,17,6
91,48,2
91,2,6
92,47,2
92,43,10
93,9,9
93,3,6
93,23,3
94,45,3
94,31,2
94,41,8
94,12,1
95,13,5
95,3,9
95,21,7
96,17,4
96,3,5
96,49,6
96,42,1
97,18,7
97,8,7
97,24,8
98,22,8
98,12,6
98,32,9
98,45,5
99,47,7
100,28,10
101,35,6
101,19,2
102,21,5
103,29,7
103,39,3
103,46,8
104,29,6
104,3,10
104,47,7
105,41,7
105,4,6
105,5,9
106,2,10
106,10,8
107,9,2
108,50,6
108,42,6
109,37,8
109,3,6
109,39,6
109,10,8
110,37,3
111,26,5
111,21,4
111,42,2
112,48,3
113,34,5
113,25,5
113,36,8
113,8,4
114,45,2
114,32,3
114,13,2
115,12,6
115,46,6
115,29,2
115,6,9
116,20,3
116,11,6
116,46,9
117,8,3
117,13,4
118,2,6
118,24,8
118,36,9
118,37,3
119,5,5
120,46,7
120,47,7
120,31,10
120,34,2
121,21,2
121,42,8
122,44,9
122,34,10
122,23,3
122,9,3
123,33,3
123,4,5
123,8,3
123,34,3
124,46,9
124,15,5
124,23,2
125,13,5
125,41,3
125,36,5
126,33,3
127,11,10
127,43,10
128,37,2
128,3,1
128,2,10
129,42,10
129,14,7
129,50,10
130,32,9
131,42,4
131,20,7
131,31,5
132,5,8
132,45,7
132,4,8
132,11,8
133,22,3
133,39,6
134,47,3
134,23,6
134,26,9
135,21,4
136,8,3
136,18,2
136,29,1
136,16,5
137,40,6
137,27,10
137,16,6
137,11,4
138,32,8
138,33,8
139,32,7
139,2,9
139,6,8
140,14,6
140,38,1
141,19,8
142,19,7
142,35,3
142,1,5
142,7,6
143,24,10
143,3,9
143,26,4
143,4,6
144,5,8
144,25,9
144,33,5
145,9,2
146,24,3
146,22,4
146,36,10
146,49,9
147,33,6
147,3,8
147,9,9
147,46,8
148,39,3
148,33,6
149,11,5
149,26,10
149,40,6
150,46,1
150,37,6
150,20,6
150,31,2
151,38,1
151,20,10
151,47,8
151,45,5
152,47,10
152,4,8
153,34,10
153,41,7
154,44,1
154,16,10
155,13,1
156,21,4
156,27,7
156,10,9
156,45,10
157,48,3
157,47,9
157,4,4
157,46,9
158,43,7
158,31,6
158,34,3
159,35,5
159,22,10
159,23,8
159,44,4
160,18,5
160,36,4
161,50,4
161,19,8
