order_id,customer_id,order_date,total_quantity
1,93,2024-08-29,34
2,65,2024-12-21,98
3,23,2024-07-18,65
4,14,2024-10-27,81
5,39,2024-05-14,82
6,65,2024-06-08,78
7,26,2024-09-05,20
8,48,2024-12-09,98
9,21,2025-03-26,70
10,100,2024-08-20,68
11,1,2024-12-14,77
12,42,2025-01-10,63
13,3,2025-03-11,15
14,47,2024-06-01,40
15,31,2024-11-20,8
16,31,2024-11-02,73
17,11,2024-07-20,11
18,94,2024-08-30,63
19,9,2024-10-24,98
20,69,2025-02-12,99
21,17,2024-03-26,17
22,85,2024-07-22,61
23,71,2024-07-15,22
24,34,2024-06-15,68
25,78,2024-09-08,55
26,28,2025-01-25,70
27,97,2024-11-06,94
28,89,2024-11-16,26
29,92,2024-12-05,40
30,52,2024-07-29,86
31,84,2024-09-22,48
32,57,2024-09-13,67
33,58,2024-09-13,16
34,32,2024-12-13,29
35,9,2024-06-16,44
36,3,2024-10-10,76
37,71,2024-09-25,30
38,76,2025-01-28,29
39,1,2025-03-10,10
40,91,2025-01-29,81
41,8,2025-01-05,30
42,9,2024-05-30,5
43,43,2024-12-06,10
44,66,2024-04-27,31
45,36,2024-07-14,86
46,63,2024-10-12,28
47,70,2024-12-08,17
48,93,2024-11-26,74
49,74,2024-11-21,61
50,32,2024-08-03,61
51,53,2024-05-01,25
52,13,2025-02-06,13
53,85,2025-01-11,56
54,46,2024-06-25,55
55,53,2024-12-12,60
56,94,2024-07-24,7
57,87,2024-06-21,84
58,83,2025-02-02,13
59,8,2024-06-11,52
60,94,2024-05-22,44
61,14,2024-04-04,32
62,25,2024-04-12,25
63,69,2024-06-29,58
64,18,2024-09-26,55
65,24,2024-11-18,36
66,60,2025-02-19,32
67,10,2025-01-18,57
68,71,2024-04-23,13
69,7,2024-09-18,84
70,70,2024-09-02,2
71,12,2025-03-05,97
72,31,2024-11-25,22
73,53,2024-11-04,63
74,62,2024-06-09,28
75,52,2024-12-29,8
76,22,2024-12-21,49
77,1,2024-08-22,50
78,34,2024-10-03,59
79,37,2024-08-28,55
80,90,2024-06-28,94
81,72,2024-05-22,85
82,92,2024-12-05,63
83,20,2024-12-18,25
84,38,2024-03-28,28
85,8,2025-03-07,75
86,95,2025-01-11,70
87,8,2025-02-23,96
88,41,2025-01-19,8
89,7,2025-03-04,75
90,62,2024-05-06,65
91,68,2025-01-22,21
92,8,2024-09-07,66
93,11,2024-06-18,24
94,9,2024-06-02,77
95,9,2025-02-01,87
96,31,2024-12-21,52
97,16,2024-10-13,73
98,32,2024-09-22,75
99,77,2024-04-14,6
100,80,2024-10-28,11
101,54,2024-06-30,85
102,75,2025-03-17,73
103,67,2025-02-18,41
104,34,2024-05-12,27
105,86,2024-09-19,92
106,41,2024-05-16,31
107,34,2025-01-31,51
108,17,2024-09-22,86
109,83,2024-12-10,39
110,59,2024-10-18,41
111,97,2024-10-29,10
112,2,2024-11-12,59
113,80,2024-07-27,73
114,13,2025-01-13,10
115,69,2025-03-07,28
116,65,2024-09-13,34
117,17,2024-11-18,45
118,9,2025-02-05,32
119,48,2024-12-30,37
120,21,2025-03-07,57
121,70,2024-10-08,91
122,39,2024-09-07,79
123,84,2025-02-11,68
124,2,2025-03-13,86
125,71,2024-10-24,39
126,85,2024-09-15,14
127,18,2025-03-09,34
128,15,2024-05-26,14
129,96,2025-01-08,71
130,20,2025-02-23,35
131,37,2024-09-26,78
132,27,2024-09-16,92
133,44,2024-07-04,27
134,88,2025-01-11,82
135,34,2024-06-30,65
136,63,2025-02-15,33
137,7,2024-11-28,12
138,82,2024-07-11,55
139,36,2025-01-17,6
140,1,2025-01-22,43
141,99,2024-10-14,17
142,82,2024-09-30,34
143,21,2024-11-24,95
144,57,2024-06-26,71
145,91,2024-07-10,55
146,72,2024-09-12,2
147,15,2024-04-25,10
148,89,2024-12-28,20
149,70,2024-07-14,5
150,48,2024-06-25,75
151,71,2024-07-09,19
152,56,2024-08-03,17
153,6,2024-07-28,40
154,47,2025-03-07,6
155,46,2024-10-21,27
156,88,2024-04-26,32
157,86,2024-05-18,14
158,46,2024-05-23,100
159,72,2024-06-23,53
160,80,2024-08-21,96
161,20,2024-12-20,31
162,21,2024-05-24,23
163,53,2024-12-25,4
164,23,2024-06-17,95
165,43,2024-04-19,53
166,86,2024-09-03,95
167,32,2024-08-31,35
168,21,2024-08-01,90
169,14,2024-10-22,49
170,5,2024-09-22,61
171,29,2024-09-03,26
172,59,2024-04-19,45
173,40,2024-06-14,30
174,29,2025-02-12,4
175,85,2024-09-05,25
176,52,2024-08-24,43
177,36,2025-03-12,9
178,99,2025-01-18,36
179,45,2024-11-07,83
180,66,2024-12-21,52
181,87,2024-04-02,69
182,43,2025-02-21,4
183,15,2025-03-03,34
184,23,2025-01-17,75
185,34,2024-11-04,5
186,14,2024-08-20,77
187,56,2024-09-27,45
188,94,2024-03-28,41
189,56,2024-08-09,78
190,66,2024-07-19,15
191,50,2025-01-12,74
192,25,2024-08-24,33
193,6,2025-02-20,91
194,56,2025-03-07,1
195,67,2025-02-13,69
196,88,2024-09-04,93
197,95,2024-10-21,95
198,86,2025-01-10,26
199,47,2025-01-05,56
200,9,2024-10-24,86
201,43,2025-01-30,80
202,41,2024-11-15,85
203,16,2025-03-09,93
204,39,2024-06-19,65
205,40,2024-10-01,86
206,53,2024-06-19,42
207,52,2024-07-09,90
208,38,2024-09-11,71
209,17,2024-09-30,25
210,54,2024-04-06,86
211,49,2024-08-24,87
212,96,2024-08-03,23
213,79,2024-12-10,73
214,39,2024-12-14,52
215,71,2025-01-29,1
216,39,2024-08-30,37
217,27,2025-01-01,56
218,75,2024-05-29,78
219,84,2025-02-15,42
220,60,2024-09-23,57
221,57,2025-03-18,87
222,28,2024-05-14,66
223,61,2024-11-22,95
224,22,2024-10-19,85
225,11,2024-04-05,37
226,66,2025-03-13,85
227,82,2024-08-26,80
228,43,2024-11-10,12
229,97,2024-10-31,31
230,87,2024-12-08,40
231,29,2024-04-05,26
232,19,2024-04-27,4
233,6,2024-11-30,32
234,61,2024-09-08,79
235,99,2024-05-17,10
236,59,2025-02-25,54
237,81,2024-09-21,74
238,25,2024-06-04,92
239,90,2024-04-14,50
240,64,2024-07-05,52
241,32,2024-08-20,19
242,84,2024-07-31,89
243,1,2024-06-16,97
244,99,2024-09-18,14
245,100,2024-07-30,55
246,29,2024-08-04,23
247,90,2025-01-15,67
248,60,2025-03-02,7
249,72,2024-08-20,32
250,16,2024-07-12,59
251,18,2025-01-12,60
252,86,2025-02-12,68
253,72,2024-09-05,77
254,41,2024-07-01,97
255,57,2025-02-13,79
256,93,2024-04-26,65
257,55,2024-09-24,71
258,58,2024-04-02,21
259,96,2025-01-10,61
260,58,2024-10-21,34
261,97,2024-04-15,32
262,82,2024-08-08,36
263,99,2024-06-21,100
264,67,2024-12-03,63
265,81,2024-04-21,31
266,36,2025-01-23,57
267,10,2024-12-04,92
268,37,2024-04-10,31
269,35,2025-01-12,43
270,41,2024-04-07,70
271,11,2024-06-30,18
272,20,2024-06-11,30
273,50,2025-02-14,89
274,20,2024-04-02,91
275,28,2024-11-22,9
276,54,2024-05-24,53
277,43,2024-06-26,70
278,60,2024-05-14,54
279,8,2024-09-25,27
280,54,2024-12-10,50
281,99,2024-05-09,75
282,90,2024-10-31,3
283,98,2024-06-18,74
284,49,2024-09-22,62
285,1,2024-12-22,46
286,39,2024-07-03,97
287,50,2025-01-17,54
288,69,2024-08-16,96
289,95,2024-05-30,70
290,78,2024-11-16,29
291,63,2024-11-16,29
292,35,2025-01-10,56
293,63,2024-12-29,4
294,50,2024-05-09,44
295,86,2025-01-22,87
296,52,2025-02-07,93
297,22,2024-05-28,60
298,17,2024-07-24,80
299,69,2024-05-06,4
300,51,2024-11-05,76
301,73,2024-04-04,85
302,4,2025-03-21,11
303,83,2024-07-25,55
304,18,2024-11-04,60
305,24,2024-12-14,7
306,34,2025-03-13,49
307,42,2024-08-18,28
308,59,2024-08-27,42
309,44,2025-03-26,98
310,49,2024-12-28,36
311,97,2024-06-11,54
312,33,2024-04-24,11
313,61,2024-11-10,3
314,96,2024-12-19,70
315,7,2025-02-11,45
316,29,2024-11-24,84
317,9,2024-06-28,100
318,84,2024-05-04,6
319,97,2024-12-21,4
320,32,2025-01-20,26
321,3,2024-07-21,80
322,20,2025-02-19,31
323,17,2024-12-16,61
324,86,2024-11-14,15
325,73,2025-02-01,28
326,60,2024-05-12,90
327,33,2025-01-29,99
328,48,2024-10-31,22
